idhh	idperson	idmother	idfather	idpartner	dag	dgn	dec	dwt	dms	dmb	dsu01	deh	drgn2	ddi	dlg_s	drgmd	drgru	drgur	les	loc	loopcount_pens	lnu	lhw_a	lhwpv_a	liwmy02_a	liwmy_a	lcb_a	liwft_s	lhw	lindi	lunmy_s	lunmy	liwmy_s	liwwh	lcs	lfs	lhwpv_h	liwmy	liwwh72_h	ypr	yemmy	yem_a	ydses_o	yptmp	yempv_a	ymwdt	ysepv_a	yprrt	yse	yemxm_s	yem	ysemy	yiy	yot	ypt	ypp	yempv_s	yivwg	ysv	pdi	poaot	poanc_s	pdinc	pdicm	pdi00	pdiot	poa00	psuwd00	poacm	poanc	poa	psuwdcm	psuot	psu	poanc00_s	poancna_s	poancrg_s	poacm_s	psuwdcm_s	bhl	bchbamtrg_s	bchbaucna_s	bchbarg_s	bchbaucrg_s	bchlgmtrg_s	bchlgrg_s	bchlgucrg_s	bchmtrg_s	bchrg_s	bchucrg_s	bma	bunct_s	bunnc_s	bunmt_s	bunctpc	bunot	bunotmy	bchbaucna02_s	bunct02_s	bhlot	bhl00	bmact_s	bpact_s	bmanc_s	bsa	bsa_s	bsarg_s	bunct	bunctmy	bunctmy_s	bunnc	bunncmy	bed	bunncmy_s	bunmtmy_s	bch00_s	bchdi_s	bchbamtna_s	bch	bch00	bchdi	bchot	bfa	bho	bun	xs01111	xs01112	xs01113	xs01114	xs01115	xs01116	xs01121	xs01122	xs01123	xs01124	xs01125	xs01126	xs01127	xs01131	xs01132	xs01133	xs01134	xs01141	xs01142	xs01143	xs01144	xs01145	xs01146	xs01147	xs01151	xs01152	xs01153	xs01154	xs01155	xs01161	xs01162	xs01163	xs01164	xs01165	xs01166	xs01167	xs01168	xs01169	xs01171	xs01172	xs01173	xs01174	xs01175	xs01176	xs01177	xs01178	xs01181	xs01182	xs01183	xs01184	xs01185	xs01186	xs01191	xs01192	xs01193	xs01194	xs01211	xs01212	xs01213	xs01221	xs01222	xs01223	xs01224	xs02111	xs02121	xs02122	xs02131	xs02211	xs02212	xs02213	xs03111	xs03121	xs03122	xs03123	xs03131	xs03141	xs03211	xs03212	xs03213	xs03221	xs04111	xs04121	xs04311	xs04321	xs04411	xs04421	xs04431	xs04441	xs04511	xs04521	xs04522	xs04531	xs04541	xs04551	xs05111	xs05121	xs05131	xs05211	xs05311	xs05312	xs05313	xs05314	xs05315	xs05316	xs05317	xs05321	xs05331	xs05411	xs05412	xs05413	xs05414	xs05511	xs05521	xs05611	xs05612	xs05621	xs05622	xs06111	xs06121	xs06131	xs06211	xs06221	xs06231	xs06232	xs06233	xs06311	xs07111	xs07112	xs07121	xs07131	xs07141	xs07211	xs07221	xs07231	xs07241	xs07311	xs07321	xs07331	xs07341	xs07351	xs07361	xs08111	xs08211	xs08311	xs09111	xs09112	xs09121	xs09122	xs09131	xs09141	xs09151	xs09211	xs09221	xs09222	xs09231	xs09311	xs09321	xs09331	xs09341	xs09351	xs09411	xs09421	xs09422	xs09423	xs09424	xs09511	xs09521	xs09531	xs09541	xs09611	xs10111	xs10211	xs10311	xs10411	xs10511	xs11111	xs11112	xs11121	xs11211	xs12111	xs12121	xs12131	xs12311	xs12321	xs12322	xs12411	xs12412	xs12521	xs12531	xs12541	xs12551	xs12621	xs12711	xcc	xhcmo	xmp	xpp	xhcmomi	xhcmomc	xhcrt	xed00	xhc	xhcot	xhl00	tpr	tintcbarg_s	tintcccrg_s	tintcchrg_s	tintcdbrg_s	tintcdprg_s	tintceerg_s	tintcfarg_s	tintchkrg_s	tintclgrg_s	tintclprg_s	tintcoarg_s	tintcrg_s	tintcrtrg_s	tintcwmrg_s	tintrchlp_s	tintrchlg_s	twl	tintrch	tsceemy_s	tsctbee_s	tsceepi_s	tsceeui_s	tsceeot_s	tscee_s	tscerpi_s	tscerui_s	tscerot_s	tscer_s	tscsemy_s	tsctbse_s	tscsepi_s	tscsehl_s	tscse_s	tsctbun_s	tscuner_s	tscunee_s	tinty_s	tintaxp_s	tintbit_s	tinit_s	tintbjt_s	tinjt_s	tintp_s	tin_s	tinrg_s	tinna_s	tingt_s	tingtna_s	tingtrg_s	tinta00_s	tintach_s	tintadp_s	tintaee_s	tintb_s	tintbiy_s	tintc00_s	tintcmg_s	tintcrt_s	tintc_s	tintrch_s	kfbcc	kfb	kivho	amrtn	afc	ils_earns	ils_origy	ils_pen	ils_origrepy	ils_bensim	ils_benmt	ils_bennt	ils_ben	ils_taxsim	ils_tax	ils_taxin	ils_taxwl	ils_sicee	ils_sicer	ils_sicct	ils_sicse	ils_sicot	ils_sicdy	ils_dispy	ils_b1_boa	ils_b1_bsu	ils_b1_bdi	ils_b1_bun	ils_b1_bhl	ils_b1_bed	ils_b1_bsa	ils_b1_bcb	ils_b1_bfa	ils_b1_bho	ils_b1_bwk	ils_b2_bfaed	ils_b2_penhl	ils_b2_bsaho	ils_b2_bunwk	ils_base_tin	ils_udb_yem	ils_udb_yse	ils_udb_ypp	ils_udb_ypr	ils_udb_yiy	ils_udb_ypt	ils_udb_yot	ils_udb_xmp	ils_udb_kfbcc	ils_udb_boa	ils_udb_bsu	ils_udb_bdi	ils_udb_bun	ils_udb_bhl	ils_udb_bed	ils_udb_bsa	ils_udb_bfa	ils_udb_bho	ils_udb_tpr	ils_udb_tis	ils_udb_yds	il_sic	il_tsctbeese	il_bch00	il_bunnc	il_poanc	il_poacm	il_poacmds	il_psuwdcm	il_tinwkgr	il_tinwk	il_tinwk01	il_tinot	il_tinty	il_tintcit	il_tintbiit	il_tintbit	il_tintsit	il_tintcitrg	il_tintcmo	il_tintcjt	il_tintbijt	il_tintbjt	il_tintsjt	il_tintcjtrg	tu_nucfam_HeadID	tu_nucfam_IsDependentChild	dct
1	101	0	0	0	40	0	0	94362.6	1	2	0	3	30	0	0	0	0	1	7	5	5	0	0	0	0	0	0	0	0	4	0	0	0	120	0	15	40	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0	0	0	0.02	0	0.01	0	0	0.02	0	0	0.03	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0.07	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.04	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.03	0	0.08	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.99	42.99	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	13
2	201	0	0	0	40	0	0	357546	1	2	0	3	30	0	0	0	0	1	5	5	5	0	0	0	0	0	0	0	0	4	12	12	12	120	0	15	40	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982.73	0	0	1637.88	0	0	0	0	0	0	0	0	0	0	0	0	1	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0.01	0	0.01	0.02	0	0.07	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.06	0.07	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.03	0	0	0	0	0.01	0	0	0	0.01	0.07	0	0	0	0	0	0.02	0	0	0	0.03	0	0	0	0	0	0	0	0.05	0	0	0.01	0.01	0.03	0	0	0	0	0	0.01	0.03	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637.88	386.54	76.98	816.06	0	560.03	0	0	0	21	0	0	0	19.02	9.75	9.27	462.5	0	0	256.04	560.03	0	90.19	0	42.99	133.18	0	0	0	0	3	0	0	0	0	982.73	982.73	0	982.73	982.73	0	0	0	0	0	0	386.54	0	76.98	76.98	905.75	0	0	0	982.73	0	0	0	0	0	0	0	0	0	0	982.73	982.73	0	0	0	0	0	0	0	0	0	0	0	0	982.73	0	0	0	0	0	0	76.98	905.75	0	0	982.73	982.73	982.73	982.73	0	982.73	982.73	816.06	982.73	0	816.06	462.5	560.03	560.03	0	462.5	0	0	816.06	0	0	0	201	0	13
3	301	0	0	0	40	0	0	35093	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	102.37	102.37	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.02	0	0	0	0.01	0.01	0	0.05	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.06	0	0.02	0	0	0.07	0	0.05	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	756.6	35.56	11.73	0.76	48.04	178.56	41.61	6.05	226.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	54.32	0	0	0	0	42.99	42.99	0	0	0	0	3	0	102.37	102.37	0	102.37	0	0	0	0	0	0	0	0	48.04	226.22	0	0	0	48.04	54.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.37	102.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.04	54.32	274.27	756.6	102.37	102.37	102.37	54.32	0	54.32	102.37	-48.04	54.32	0	0	0	-54.32	0	0	0	0	0	0	0	0	0	301	0	13
4	401	0	0	0	40	0	0	35093	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	409.47	409.47	0	0	0	0	0	0	2.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.02	0	0	0	0.01	0.01	0	0.05	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.06	0	0.02	0	0	0.07	0	0.05	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	756.6	35.56	11.73	0.76	48.04	178.56	41.61	6.05	226.22	0	0	0	0	0	0	0	0	194.76	0	0	0	0	0	21	0	0	0	0	0	0	462.5	0	0	308.33	0	0	0	0	42.99	42.99	0	0	0	0	3	0	409.47	409.47	0	409.47	0	0	0	0	0	0	0	0	48.04	226.22	0	0	0	48.04	361.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.47	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.04	361.43	274.27	756.6	409.47	409.47	409.47	361.43	0	361.43	409.47	194.76	361.43	0	194.76	462.5	-113.57	0	0	462.5	0	0	194.76	0	0	0	401	0	13
5	501	0	0	0	40	0	0	42441.4	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	716.57	716.57	0	0	0	0	0	0	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.01	0	0.01	0.02	0	0.03	0.02	0.02	0	0	0.01	0.02	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	756.6	35.56	11.73	0.76	48.04	178.56	41.61	6.05	226.22	0	0	0	0	0	0	0	0	501.86	0	193.53	0	0	0	21	0	0	0	0	0	0	462.5	0	0	308.33	193.53	0	0	0	42.99	42.99	0	0	0	0	3	0	716.57	716.57	0	716.57	0	0	0	0	0	0	0	0	48.04	226.22	0	0	0	48.04	668.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716.57	716.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.04	668.53	274.27	756.6	716.57	716.57	716.57	668.53	0	668.53	716.57	501.86	668.53	0	501.86	462.5	193.53	193.53	0	462.5	0	0	501.86	0	0	0	501	0	13
6	601	0	0	0	40	0	0	43803.9	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	1023.68	1023.68	0	0	0	0	0	0	6.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1023.68	48.11	15.87	1.02	65	241.59	56.3	8.19	306.08	0	0	0	0	0	0	0	0	792.01	0	508.16	0	0	0	21	0	0	0	8.9	4.57	4.34	462.5	0	0	283.85	508.16	0	90.19	0	42.99	133.18	0	0	0	0	3	0	1023.68	1023.68	0	1023.68	0	0	0	0	0	0	0	0	65	306.08	0	0	0	65	958.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023.68	1023.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	958.67	371.08	1023.68	1023.68	1023.68	1023.68	958.67	0	958.67	1023.68	792.01	958.67	0	792.01	462.5	508.16	508.16	0	462.5	0	0	792.01	0	0	0	601	0	13
7	701	0	0	0	40	0	0	51779.9	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	1330.78	1330.78	0	0	0	0	0	0	8.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0.03	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0.01	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1330.78	62.55	20.63	1.33	84.5	314.06	73.19	10.65	397.9	0	0	0	0	0	0	0	0	1079.61	0	1079.61	79.11	0	0	21	79.11	37.84	41.27	122.1	62.76	59.34	462.5	0	0	0	1079.61	0	90.19	0	42.99	133.18	0	0	0	0	3	0	1330.78	1330.78	0	1330.78	0	0	0	0	79.11	79.11	79.11	0	84.5	397.9	0	0	0	84.5	1167.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330.78	1330.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.61	1167.17	482.41	1330.78	1330.78	1330.78	1330.78	1246.28	0	1246.28	1330.78	1079.61	1246.28	0	1079.61	462.5	1079.61	1079.61	0	462.5	0	0	1079.61	0	0	0	701	0	13
8	801	0	0	0	40	0	0	48218.4	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	1637.88	1637.88	0	0	0	0	0	0	9.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.03	0	0	0.01	0	0	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.12	0	0	0.03	0.01	0	0	0.04	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1637.88	76.98	25.39	1.64	104.01	386.54	90.08	13.1	489.73	0	0	0	0	0	0	0	0	1367.21	0	1367.21	147.27	0	0	21	147.27	70.06	77.22	190.27	98.71	91.55	462.5	0	0	0	1367.21	0	90.19	0	42.99	133.18	0	0	0	0	3	0	1637.88	1637.88	0	1637.88	0	0	0	0	147.27	147.27	147.27	0	104.01	489.73	0	0	0	104.01	1386.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637.88	1637.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.28	1386.61	593.73	1637.88	1637.88	1637.88	1637.88	1533.88	0	1533.88	1637.88	1367.21	1533.88	0	1367.21	462.5	1367.21	1367.21	0	462.5	0	0	1367.21	0	0	0	801	0	13
9	901	0	0	0	40	0	0	35125.8	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	1944.99	1944.99	0	0	0	0	0	0	11.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0.03	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1944.99	91.41	30.15	1.94	123.51	459.02	106.97	15.56	581.55	0	0	0	0	0	0	0	0	1654.81	0	1654.81	219.2	0	0	21	219.2	106.03	113.17	262.19	134.66	127.53	462.5	0	0	0	1654.81	0	90.19	0	42.99	133.18	0	0	0	0	3	0	1944.99	1944.99	0	1944.99	0	0	0	0	219.2	219.2	219.2	0	123.51	581.55	0	0	0	123.51	1602.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1944.99	1944.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342.7	1602.28	705.06	1944.99	1944.99	1944.99	1944.99	1821.48	0	1821.48	1944.99	1654.81	1821.48	0	1654.81	462.5	1654.81	1654.81	0	462.5	0	0	1654.81	0	0	0	901	0	13
10	1001	0	0	0	40	0	0	27748.2	1	2	0	3	30	0	0	0	0	1	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	2252.09	2252.09	0	0	0	0	0	0	13.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0.03	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2252.09	105.85	34.91	2.25	143.01	531.49	123.86	18.02	673.37	0	0	0	0	0	0	0	0	1942.41	0	1942.41	334.3	0	0	21	334.3	160.85	173.45	344.17	178.39	165.78	462.5	0	0	0	1942.41	0	90.19	0	9.87	100.05	0	0	0	0	3	0	2252.09	2252.09	0	2252.09	0	0	0	0	334.3	334.3	334.3	0	143.01	673.37	0	0	0	143.01	1774.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252.09	2252.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477.31	1774.78	816.38	2252.09	2252.09	2252.09	2252.09	2109.08	0	2109.08	2252.09	1942.41	2109.08	0	1942.41	462.5	1942.41	1942.41	0	462.5	0	0	1942.41	0	0	0	1001	0	13
