idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgnBirthIntl,labUnempFlag,demRgn
18,1803,1805,-9,1803,-9,2016,1,10,0,3,1,3,0,-9,0,-9,1,0,0,0,-9,-9,-999,-9,-9,-9,2016,1,0,-9,2,0,2511,0,0,0,0,0,2,-9,-9,0,4
1,101,104,-9,102,101,2016,0,17,0,1,1,3,0,0,0,4,5,0,0,0,-9,-9,-999,-9,-9,-9,2016,1,0,-9,2,0,1420,0,0,0,0,0,2,-9,-9,0,6
2218,221803,221804,-9,221801,221802,2016,1,19,0,0,0,2,2,0,0,5,2,0,4.0599999,4.0599999,-9,-9,-999,-9,-9,-9,2016,1,0,-9,2,1,729,0,0,4.0599999,0,367.89001,2,-9,-9,0,1
10354,1035403,1035404,-9,1035402,1035401,2016,1,29,0,0,0,1,1,-9,0,4,3,6.5799999,6.6599998,4.2399998,-9,-9,-999,0,-9,-9,2016,1,11,-9,1,1,1975,10.3,10.31,4.2399998,0,492.63,1,2,-9,0,6
8603,860301,860304,-9,860302,860301,2016,0,17,0,1,1,3,0,0,0,4,5,0,0,0,-9,-9,-999,-9,-9,-9,2016,0,0,-9,2,0,547,0,0,0,0,0,2,-9,-9,0,5
2535,253503,253504,-9,253502,253501,2016,1,19,0,0,0,3,3,-9,0,5,1,0,0,0,-9,-9,-999,-9,-9,-9,2016,0,0,-9,3,1,1689,0,-9,0,0,150.92,-9,-9,-9,1,4
2418,241801,241804,-9,241802,241801,2016,1,12,0,3,1,3,0,-9,0,-9,3,0,0,0,-9,-9,-999,-9,-9,-9,2016,1,0,-9,2,0,2293,0,-9,0,0,0,-9,-9,-9,0,4
6001,600104,600104,-9,-9,600101,2016,0,21,0,0,0,3,3,-9,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2016,1,0,-9,3,1,556,0,-9,0,0,313.26001,-9,2,-9,1,6
5074,507402,507403,-9,507401,507402,2016,1,20,0,0,1,2,0,0,0,4,1,0,0,0,-9,-9,-999,-9,-9,-9,2016,1,0,-9,2,1,1486,0,0,0,0,514.41998,2,-9,-9,0,5
8480,848002,848002,-9,848001,-9,2016,0,38,0,1,0,1,1,-9,0,4,4,7.46,7.46,0,-9,-9,-999,0,-9,-9,2016,0,40,-9,1,0,428,8.3699999,8.1599998,0,0,909.77002,1,18,-9,0,3
