idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yHhQuintilesMonthC5,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC4,eduHighestFatherC4,statInterviewYear,wealthPrptyFlag,labHrsWorkWeek,demCountry,labC4,demAdultChildFlag,wgtCrossMainSurvey,labWageHrly,labWageHrlyL1,yCapitalPersMonth,yPensPersGrossMonth,yPersDispMonth,labC4L1,labEmpNyear,demRgn
11007,1100702,1100704,-9,-9,-9,2018,1,67,0,0,0,1,1,-9,0,3,3,0,4.67,4.67,-9,-9,-999,-9,-9,-9,2018,0,0,-9,4,0,245,0,-9,4.67,0,792.5,-9,-9,10
8955,895502,895503,-9,895502,895501,2018,1,28,0,0,0,1,1,-9,0,5,4,8.050000000000001,8.050000000000001,0,-9,-9,-999,0,-9,-9,2018,1,40,-9,1,1,2939,4.01,3.7,0,0,779.26,1,3,10
12525,1252501,1252503,-9,1252502,1252501,2018,1,4,0,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2018,1,0,-9,2,0,428,0,0,0,0,0,2,-9,10
2450,245004,245005,-9,245002,245001,2018,1,20,0,0,0,2,2,-9,0,4,3,4.68,4.68,0,-9,-9,-999,-9,-9,-9,2018,1,15,-9,1,1,288,1.07,-9,0,0,115.73,-9,-9,6
3272,327201,327204,-9,327202,327201,2018,1,6,0,3,1,3,0,-9,0,-9,4,0,0,0,-9,-9,-999,-9,-9,-9,2018,1,0,-9,2,0,439,0,0,0,0,0,2,-9,10
1671,167101,167103,-9,167102,167101,2018,0,0,1,1,1,3,0,-9,0,-9,5,0,0,0,-9,-9,-999,-9,-9,-9,2018,1,0,-9,2,0,808,0,0,0,0,0,2,-9,10
14247,1424702,1424703,-9,1424702,1424701,2018,0,25,0,0,0,2,2,-9,0,4,3,6.52,6.52,0,-9,-9,-999,0,-9,-9,2018,1,40,-9,1,1,1449,1.37,0,0,0,397.33,3,-9,10
11884,1188402,1188402,-9,1188401,-9,2018,1,18,0,0,0,3,3,-9,0,5,3,0,4.69,4.69,-9,-9,-999,-9,-9,-9,2018,1,0,-9,3,1,371,0,-9,4.69,0,255.43,-9,-9,10
2704,270401,270401,-9,-9,-9,2018,0,76,0,0,0,2,2,-9,0,4,3,0,4.98,4.98,-9,-9,-999,-9,-9,-9,2018,1,0,-9,4,0,621,0,0,4.98,0,585.12,4,48,10
14289,1428902,1428905,-9,1428902,1428903,2018,1,17,0,2,0,3,3,-9,0,5,2,0,0,0,-9,-9,-999,-9,-9,-9,2018,1,0,-9,3,0,794,0,-9,0,0,0,-9,-9,6
