# Energy/Cost-Push Shock Scenario (60 quarters)
#
# Simulates a persistent 1.5 standard deviation energy/cost-push shock (eps_p)
# that phases out linearly over 15 years.
# Initial shock: 1.5 standard deviations, reaching exactly zero in the final quarter.
#
# Shock units: standard-deviation units (eps_p is multiplied by sigma_p internally)
# All unlisted shocks default to zero.
#
year,quarter,eps_p
2023,1,1.500000
2023,2,1.474576
2023,3,1.449153
2023,4,1.423729
2024,1,1.398305
2024,2,1.372881
2024,3,1.347458
2024,4,1.322034
2025,1,1.296610
2025,2,1.271186
2025,3,1.245763
2025,4,1.220339
2026,1,1.194915
2026,2,1.169492
2026,3,1.144068
2026,4,1.118644
2027,1,1.093220
2027,2,1.067797
2027,3,1.042373
2027,4,1.016949
2028,1,0.991525
2028,2,0.966102
2028,3,0.940678
2028,4,0.915254
2029,1,0.889831
2029,2,0.864407
2029,3,0.838983
2029,4,0.813559
2030,1,0.788136
2030,2,0.762712
2030,3,0.737288
2030,4,0.711864
2031,1,0.686441
2031,2,0.661017
2031,3,0.635593
2031,4,0.610169
2032,1,0.584746
2032,2,0.559322
2032,3,0.533898
2032,4,0.508475
2033,1,0.483051
2033,2,0.457627
2033,3,0.432203
2033,4,0.406780
2034,1,0.381356
2034,2,0.355932
2034,3,0.330508
2034,4,0.305085
2035,1,0.279661
2035,2,0.254237
2035,3,0.228814
2035,4,0.203390
2036,1,0.177966
2036,2,0.152542
2036,3,0.127119
2036,4,0.101695
2037,1,0.076271
2037,2,0.050847
2037,3,0.025424
2037,4,0.000000
