year,psi
2025,0.000000
2026,-0.000007
2027,-0.000014
2028,-0.000021
2029,-0.000028
2030,-0.000036
2031,-0.000043
2032,-0.000049
2033,-0.000056
2034,-0.000063
2035,-0.000070
2036,-0.000077
2037,-0.000084
2038,-0.000091
2039,-0.000097
2040,-0.000104
2041,-0.000111
2042,-0.000117
2043,-0.000124
2044,-0.000130
2045,-0.000137
2046,-0.000143
2047,-0.000150
2048,-0.000156
2049,-0.000163
2050,-0.000169
2051,-0.000176
2052,-0.000182
2053,-0.000188
2054,-0.000194
2055,-0.000201
2056,-0.000207
2057,-0.000213
2058,-0.000219
2059,-0.000225
2060,-0.000231
