year,g_A,psi
2025,0.0025,0.000000
2026,0.0025,-0.000014
2027,0.0025,-0.000028
2028,0.0025,-0.000043
2029,0.0025,-0.000056
2030,0.0025,-0.000070
2031,0.0025,-0.000084
2032,0.0025,-0.000097
2033,0.0025,-0.000111
2034,0.0025,-0.000124
2035,0.0025,-0.000137
2036,0.0025,-0.000150
2037,0.0025,-0.000163
2038,0.0025,-0.000176
2039,0.0025,-0.000188
2040,0.0025,-0.000201
2041,0.0025,-0.000213
2042,0.0025,-0.000225
2043,0.0025,-0.000238
2044,0.0025,-0.000250
2045,0.0025,-0.000261
2046,0.0025,-0.000273
2047,0.0025,-0.000285
2048,0.0025,-0.000297
2049,0.0025,-0.000308
2050,0.0025,-0.000320
2051,0.0025,-0.000331
2052,0.0025,-0.000342
2053,0.0025,-0.000353
2054,0.0025,-0.000364
2055,0.0025,-0.000375
2056,0.0025,-0.000386
2057,0.0025,-0.000397
2058,0.0025,-0.000407
2059,0.0025,-0.000418
2060,0.0025,-0.000428
