year, g_A, psi
2025, 0.0025, 0.000000
2026, 0.0025, -0.000025
2027, 0.0025, -0.000050
2028, 0.0025, -0.000075
2029, 0.0025, -0.000100
2030, 0.0025, -0.000125
2031, 0.0025, -0.000150
2032, 0.0025, -0.000175
2033, 0.0025, -0.000200
2034, 0.0025, -0.000225
2035, 0.0025, -0.000250
2036, 0.0025, -0.000275
2037, 0.0025, -0.000300
2038, 0.0025, -0.000325
2039, 0.0025, -0.000350
2040, 0.0025, -0.000375
2041, 0.0025, -0.000400
2042, 0.0025, -0.000425
2043, 0.0025, -0.000450
2044, 0.0025, -0.000475
2045, 0.0025, -0.000500
2046, 0.0025, -0.000525
2047, 0.0025, -0.000550
2048, 0.0025, -0.000575
2049, 0.0025, -0.000600
2050, 0.0025, -0.000625
2051, 0.0025, -0.000650
2052, 0.0025, -0.000675
2053, 0.0025, -0.000700
2054, 0.0025, -0.000725
2055, 0.0025, -0.000750
2056, 0.0025, -0.000775
2057, 0.0025, -0.000800
2058, 0.0025, -0.000825
2059, 0.0025, -0.000850
2060, 0.0025, -0.000875
