time,h
2023q1,495.6112127407
2023q2,495.3598514833
2023q3,495.1086177099
2023q4,494.8575113557
2024q1,494.6065323563
2024q2,494.3556806469
2024q3,494.1049561631
2024q4,493.8543588403
2025q1,493.6038886140
2025q2,493.3535454197
2025q3,493.1033291931
2025q4,492.8532398697
2026q1,492.6032773852
2026q2,492.3534416753
2026q3,492.1037326755
2026q4,491.8541503218
2027q1,491.6046945498
2027q2,491.3553652954
2027q3,491.1061624943
2027q4,490.8570860825
2028q1,490.6081359958
2028q2,490.3593121703
2028q3,490.1106145417
2028q4,489.8620430462
2029q1,489.6135976198
2029q2,489.3652781985
2029q3,489.1170847184
2029q4,488.8690171157
2030q1,488.6210753265
2030q2,488.3732592869
2030q3,488.1255689333
2030q4,487.8780042019
2031q1,487.6305650289
2031q2,487.3832513507
2031q3,487.1360631037
2031q4,486.8890002242
2032q1,486.6420626486
2032q2,486.3952503134
2032q3,486.1485631550
2032q4,485.9020011101
2033q1,485.6555641150
2033q2,485.4092521065
2033q3,485.1630650211
2033q4,484.9170027954
2034q1,484.6710653662
2034q2,484.4252526701
2034q3,484.1795646439
2034q4,483.9340012243
2035q1,483.6885623482
2035q2,483.4432479524
2035q3,483.1980579737
2035q4,482.9529923490
2036q1,482.7080510154
2036q2,482.4632339097
2036q3,482.2185409689
2036q4,481.9739721301
2037q1,481.7295273303
2037q2,481.4852065067
2037q3,481.2410095962
2037q4,480.9969365362
2038q1,480.7529872637
2038q2,480.5091617160
2038q3,480.2654598304
2038q4,480.0218815441
2039q1,479.7784267945
2039q2,479.5350955188
2039q3,479.2918876545
2039q4,479.0488031389
2040q1,478.8058419096
2040q2,478.5630039040
2040q3,478.3202890595
2040q4,478.0776973138
2041q1,477.8352286044
2041q2,477.5928828688
2041q3,477.3506600448
2041q4,477.1085600700
2042q1,476.8665828821
2042q2,476.6247284187
2042q3,476.3829966177
2042q4,476.1413874169
2043q1,475.8999007540
2043q2,475.6585365670
2043q3,475.4172947937
2043q4,475.1761753719
2044q1,474.9351782398
2044q2,474.6943033352
2044q3,474.4535505962
2044q4,474.2129199607
2045q1,473.9724113669
2045q2,473.7320247529
2045q3,473.4917600568
2045q4,473.2516172168
2046q1,473.0115961710
2046q2,472.7716968578
2046q3,472.5319192153
2046q4,472.2922631818
2047q1,472.0527286958
2047q2,471.8133156954
2047q3,471.5740241192
2047q4,471.3348539055
2048q1,471.0958049928
2048q2,470.8568773196
2048q3,470.6180708243
2048q4,470.3793854455
2049q1,470.1408211218
2049q2,469.9023777918
2049q3,469.6640553941
2049q4,469.4258538674
2050q1,469.1877731504
2050q2,468.9498131818
2050q3,468.7119739004
2050q4,468.4742552450
2051q1,468.2366571543
2051q2,467.9991795673
2051q3,467.7618224228
2051q4,467.5245856597
2052q1,467.2874692170
2052q2,467.0504730337
2052q3,466.8135970488
2052q4,466.5768412012
2053q1,466.3402054301
2053q2,466.1036896747
2053q3,465.8672938739
2053q4,465.6310179669
2054q1,465.3948618931
2054q2,465.1588255915
2054q3,464.9229090015
2054q4,464.6871120623
2055q1,464.4514347132
2055q2,464.2158768936
2055q3,463.9804385429
2055q4,463.7451196005
2056q1,463.5099200058
2056q2,463.2748396982
2056q3,463.0398786174
2056q4,462.8050367027
2057q1,462.5703138939
2057q2,462.3357101304
2057q3,462.1012253519
2057q4,461.8668594980
2058q1,461.6326125085
2058q2,461.3984843230
2058q3,461.1644748814
2058q4,460.9305841233
2059q1,460.6968119885
2059q2,460.4631584170
2059q3,460.2296233486
2059q4,459.9962067231
2060q1,459.7629084806
2060q2,459.5297285609
2060q3,459.2966669040
2060q4,459.0637234501
2061q1,458.8308981391
2061q2,458.5981909111
2061q3,458.3656017062
2061q4,458.1331304645
2062q1,457.9007771263
2062q2,457.6685416318
2062q3,457.4364239211
2062q4,457.2044239345
2063q1,456.9725416123
2063q2,456.7407768950
2063q3,456.5091297227
2063q4,456.2776000359
