period,w,n,pi,u_rate,y,R,L,h,k,inv
0,-0.151225309911825,0.149721324593446,-0.0063239827225352,0.560521655237016,0.0472146203761157,-0.000716829307357663,0.7535,4.71684346607237e-20,-0.000394629459485168,-0.0157851783794067
1,-0.0681014629969885,0.117101900984804,-0.00453923113989929,-0.108712271640276,0.0353157632074787,-0.00105233870766916,-6.30139157615132e-21,-1.21596167365689e-16,-0.00103749043812953,-0.0261090686052584
2,-0.0220924340146921,0.0911200615219637,-0.00156108047187003,-0.0845918708129243,0.0260501815902657,-0.000658940567939873,-2.52864058628449e-21,-9.6397042087747e-17,-0.00182298607509845,-0.0324573159168852
3,0.00150402916579874,0.0704341434095031,0.000582082909543676,-0.065387971217288,0.0184712628486132,0.000109253989726398,1.57293512177036e-22,-7.70294271503432e-17,-0.00267856488841391,-0.036046138607716
4,0.0119347826967935,0.0539957653041401,0.00164339539004486,-0.0501273015707065,0.0122590881272281,0.000886899011975176,1.99189415064529e-21,-6.18449704539726e-17,-0.0035548044783338,-0.0377281484852091
5,0.0149471848268403,0.0409746445257755,0.00190454123596576,-0.0380390638289289,0.00730798217098557,0.00146358113464443,3.1840051446788e-21,-4.98310301259246e-17,-0.00441731890511042,-0.0380553815493981
6,0.0140562462061572,0.0307069149460138,0.00171049259255091,-0.0285069537793336,0.00352861650537621,0.00177222809811517,3.90146097796416e-21,-4.0285176850494e-17,-0.00524139395272092,-0.03738032080953
7,0.0113627116573062,0.0226579854256879,0.00132694466982814,-0.0210346804424503,0.000787919957772843,0.00183556387838487,4.27266382502446e-21,-3.26752329091374e-17,-0.00600891086218496,-0.0359420703312824
8,0.00807936121225471,0.0163949854383517,0.000920393693145874,-0.0152203857966725,-0.00108640501654153,0.0017174090852381,4.39400081686578e-21,-2.65817046801123e-17,-0.00670676815925372,-0.0339232027449351
9,0.00486831728406368,0.0115659142695057,0.000577543143988095,-0.0107372878088275,-0.00228138117142305,0.00149015568210132,4.33783985461612e-21,-2.16723966328308e-17,-0.00732610249379153,-0.0314801415407663
10,0.00205625412249256,0.00788367107342671,0.000331547156904702,-0.00731885463898805,-0.00297535500589856,0.001217204817605,4.15906276667381e-21,-1.76875138383818e-17,-0.00786183229285954,-0.0287552944565117
11,-0.000229104741079374,0.00511371265186376,0.000184127921803192,-0.00474734666324393,-0.00332276855707723,0.000945933016698032,3.8997631838033e-21,-1.44273935285534e-17,-0.00831226012713462,-0.0258789456638628
12,-0.00197313679331785,0.00306442521421668,0.000121224726216652,-0.00284487803791047,-0.00344741813488797,0.000706928377851229,3.59241279847157e-21,-1.17409247664954e-17,-0.00867862342273856,-0.0229667919512919
13,-0.0032209948158575,0.00157952619033708,0.000122892738837023,-0.00146636287560471,-0.0034420308752264,0.000516359752051439,3.26195970329135e-21,-9.51477715331156e-18,-0.00896457573754254,-0.0201167160148977
14,-0.00404510899982765,0.00053198358131458,0.000168944971005209,-0.000493870237064234,-0.00337162228978827,0.000379480735698017,2.92726429002628e-21,-7.66396163156634e-18,-0.00917562599719623,-0.0174065861236904
15,-0.00452596825059806,-0.00018092627714843,0.000241755348207995,0.000167964024689713,-0.00327857217119773,0.000294146888740878,2.60215834287068e-21,-6.12407044508063e-18,-0.00931857733119588,-0.0148936793571822
16,-0.00474130639374683,-0.000641697858826299,0.000327318675519988,0.000595724162913127,-0.00318802702685767,0.000253812437977267,2.29630048159675e-21,-4.84526264423663e-18,-0.00940100418515514,-0.0126156514895663
17,-0.00476054467732649,-0.000916008882996794,0.000415329385930278,0.000850382493160174,-0.00311283017769093,0.000249828011718632,2.01591836132925e-21,-3.7878460867664e-18,-0.00943079581099204,-0.0105926692186309
18,-0.00464245770891902,-0.00105560439339442,0.000498771005612229,0.000979976845758077,-0.00305761348623434,0.000273053373902723,1.7644759992082e-21,-2.91919051583801e-18,-0.0094157819281109,-0.00883024049574642
19,-0.00443475349653254,-0.00110074976067924,0.000573313615078979,0.0010218878257703,-0.00302196138748846,0.000314887748958667,1.54327652997041e-21,-2.21167172446548e-18,-0.00936344540751556,-0.00732232110429745
20,-0.00417472908482395,-0.00108232195668708,0.000636686055410372,0.00100478026033813,-0.00300271275963781,0.000367848196799105,1.35199860575377e-21,-1.6413647334611e-18,-0.00928071853326917,-0.00605437043765976
21,-0.0038904706608997,-0.00102359019265286,0.00068810698850201,0.000950256265151836,-0.00299553743522967,0.000425822218109149,1.18916187771258e-21,-1.18724843907193e-18,-0.00917385394540774,-0.00500613501881194
22,-0.00360226811498877,-0.000941725517896936,0.00072780941707584,0.000874256689696923,-0.00299594377666251,0.000484102005193511,1.05251880063891e-21,-8.30737154323704e-19,-0.00904835842208726,-0.00415403301258862
23,-0.00332404560343869,-0.000849071939375577,0.000756665470611251,0.000788241168924422,-0.00299986493833442,0.000539284621879826,9.39373420186647e-22,-5.55405056205324e-19,-0.00890897665876566,-0.00347308788922352
24,-0.00306469539161529,-0.000754207337150171,0.000775904026059264,0.000700173030666672,-0.00300394950742526,0.00058910016763601,8.46831193494358e-22,-3.46812462915639e-19,-0.00875971256660044,-0.00293841297215673
25,-0.0028292575859079,-0.000662819720701155,0.000786907577961947,0.000615332773587908,-0.00300565638162367,0.000632210997956801,7.71986501562195e-22,-1.92376397426582e-19,-0.00860387682941686,-0.0025262830792573
26,-0.0026199234348423,-0.000578422412477488,0.000791073173003466,0.000536982012241087,-0.00300322902489959,0.000668010024643991,7.12056113639902e-22,-8.12523912469301e-20,-0.00844415112361928,-0.00221484859751345
27,-0.00243686141840474,-0.000502930084140246,0.000789722995410269,0.000466898243865541,-0.00299560296914689,0.000696434844109601,6.64467524392678e-22,-4.21127189268632e-21,-0.00828266122322448,-0.0019845551078273
28,-0.00227887786627479,-0.00043711595260416,0.000784052034883476,0.000405799289150465,-0.00298228333228336,0.000717806402445639,6.26910994490664e-22,4.64945982471697e-20,-0.008121052984721,-0.00181833168308549
