period,w,n,pi,u_rate,y,R,L,h,k,inv
0,0.16412646755099,-0.00194134466311933,-0.251579751325887,0.00180225928519996,0.599220491111358,-0.0604934131199821,0,-1.35819363585797e-17,-0.00310989632419459,-0.124395852967784
1,0.262439343101927,-0.00432164707455058,-0.326495697996973,0.00401202770194922,0.662575384451675,-0.129779055283786,4.09645073323258e-20,-4.31682995475311e-17,-0.00754573274818583,-0.180543353283843
2,0.320235888298817,-0.00603246210217689,-0.329711254476731,0.00560027337896613,0.725048304471016,-0.184610412958272,4.67882573341296e-20,-9.0033184368521e-17,-0.0119233804993665,-0.182651642795411
3,0.353473132822571,-0.0064639132181348,-0.307143885507503,0.00600081368209583,0.773121502373565,-0.22050345845953,4.86833895564917e-20,-1.20047155294223e-16,-0.0153247272031706,-0.14797724865153
4,0.371958590057092,-0.00544287115115121,-0.278175034738549,0.00505292298511668,0.80192931151739,-0.239807044401254,4.72632603602132e-20,-1.33270207210721e-16,-0.0172481782174022,-0.0922627677724334
5,0.381551410547515,-0.00310266203769846,-0.250369198225046,0.00288037542869623,0.81218266282678,-0.246651828417847,4.35015935898547e-20,-1.33443256636335e-16,-0.017512749746026,-0.0278310393623541
6,0.385649663434582,0.000251099939397132,-0.226159210965581,-0.000233110176615667,0.807189631953943,-0.244989485225104,3.83755145128293e-20,-1.25040934315093e-16,-0.01615719204274,0.036709558385416
7,0.386169406923736,0.00424835597219697,-0.205868453787283,-0.00394398745528478,0.790935759774222,-0.237978730321912,3.26891062081376e-20,-1.11954166146157e-16,-0.013353651526894,0.0959844285911036
8,0.384170279968564,0.00852815096496452,-0.189053200156089,-0.00791716151911844,0.767096900132646,-0.227921521801041,2.70213900147924e-20,-9.70743388932089e-17,-0.00934201191735263,0.147111932854762
9,0.380241823580837,0.0127811310140706,-0.175075423942905,-0.0118654417647063,0.738654301788208,-0.216393487078999,2.17409242794857e-20,-8.23109097842393e-17,-0.00438422331204148,0.188969532295096
10,0.374732504664866,0.0167683633012714,-0.163327306760289,-0.0155670134373584,0.707836189860823,-0.204417076944766,1.70475674027025e-20,-6.87771225141219e-17,0.00126486077331812,0.221579140102345
11,0.367878556645128,0.0203242180980232,-0.153302752194439,-0.0188681131575758,0.676207219172201,-0.192619306734839,1.30192588111719e-20,-5.7009543865735e-17,0.00737423660754852,0.245639894142537
12,0.359871271051598,0.0233497980988691,-0.144605771733345,-0.0216769290021967,0.644805691800216,-0.18135703461287,9.65344818727553e-21,-4.71628785416878e-17,0.0137448094520472,0.262197150387498
13,0.350888106004941,0.0258017042304648,-0.13693616644436,-0.0239531711739534,0.614279476087931,-0.170809490721406,6.89962282797658e-21,-3.91613260841955e-17,0.020211740991642,0.272422071035842
14,0.341103749329387,0.0276793463178664,-0.1300698382588,-0.0256962917802987,0.585000839396188,-0.16104352306986,4.6828302219197e-21,-3.28064438757469e-17,0.0266433037185924,0.277474250069661
15,0.330691042522962,0.0290127462954514,-0.123840462205873,-0.0269341618690786,0.557155475391694,-0.152058070232858,2.91954399146528e-21,-2.78487654091539e-17,0.0329378020617881,0.27842323744642
16,0.319817583276054,0.0298518692506794,-0.118124561783401,-0.0277131668372403,0.530807784402149,-0.143813630111253,1.52761361227763e-21,-2.40320625135374e-17,0.0390196035476744,0.276209861497244
17,0.308641220882062,0.0302579066082884,-0.112830106406745,-0.0280901141211467,0.505946829123635,-0.136251265282936,4.31935794229932e-22,-2.11183254152124e-17,0.0448349426395648,0.271633167223291
18,0.297306056348704,0.0302965572489565,-0.107888082540887,-0.0281259956816682,0.482517632149608,-0.129304496184875,-4.32802790926413e-22,-1.88999040937892e-17,0.0503478919732687,0.265352915987724
19,0.285939613064415,0.0300331398721484,-0.103246360293811,-0.0278814505361027,0.460441859027725,-0.12290645856035,-1.12128182839638e-21,-1.72035722355869e-17,0.0555367143423551,0.257900786736725
20,0.274651316977287,0.0295292687933855,-0.098865251033228,-0.0274136787140785,0.43963106946834,-0.11699396542154,-1.67785847769055e-21,-1.58898428485512e-17,0.0603906906325724,0.249695765951049
21,0.263532157697695,0.0288407944571729,-0.0947142809406847,-0.0267745293200357,0.4199949010443,-0.11150958409333,-2.13751828824905e-21,-1.4849757821875e-17,0.0649074452227257,0.241060874238705
22,0.252655288931883,0.0280167201262628,-0.0907698305222018,-0.0260094948350251,0.401445875225254,-0.106402469550694,-2.5271238714242e-21,-1.40005694001404e-17,0.069090747031179,0.232239517560863
23,0.242077301080094,0.0270988378946478,-0.0870133914682391,-0.0251573732071272,0.383902000515962,-0.101628443068128,-2.86674417476064e-21,-1.32811728653188e-17,0.0729487411737908,0.223410512735654
24,0.231839918864461,0.0261218678355904,-0.0834302675614579,-0.024250397030383,0.367287972479475,-0.0971496354109529,-3.17093431011373e-21,-1.26477760489463e-17,0.076492555936548,0.214701331684079
25,0.221971917265906,0.0251139261613725,-0.0800085994936582,-0.0233146681637837,0.351535506093623,-0.0929339005245194,-3.44989478253319e-21,-1.20700501867256e-17,0.0797352275359635,0.206199419913168
26,0.212491095292332,0.0240971875016551,-0.0767386298320217,-0.022370772561468,0.336583153736446,-0.0889541305258111,-3.71047753526194e-21,-1.1527857037927e-17,0.0826908876388539,0.197961631651583
27,0.203406191319259,0.0230886407291146,-0.0736121488474344,-0.0214344819481109,0.322375838586269,-0.0851875531102226,-3.95703054049822e-21,-1.10085588777126e-17,0.0853741636658745,0.19002192871968
28,0.194718662179146,0.0221008664434084,-0.0706220783071025,-0.020517475600956,0.308864250439209,-0.0816150597193288,-4.19208721200386e-21,-1.0504869537452e-17,0.0877997481111402,0.182397541476504
29,0.186424279479987,0.0211427873245597,-0.0677621613986467,-0.0196280369450056,0.296004195929284,-0.0782205912968251,-4.41691491533024e-21,-1.00131814374691e-17,0.0899820995997351,0.175093807654936
30,0.178514520809253,0.0202203605668158,-0.065026734577493,-0.0187716963782617,0.283755958819444,-0.074990594440222,-4.63194056976725e-21,-9.53229570308245e-18,0.0919352446537566,0.168107901760595
31,0.170977751218401,0.0193371951816437,-0.0624105625486089,-0.017951804348767,0.272083702221936,-0.071913551761212,-4.8370723406501e-21,-9.06248354360199e-18,0.0936726548558657,0.161431652738121
32,0.163800202672959,0.0184950868470234,-0.0599087215909205,-0.0171700278852435,0.260954929135551,-0.0689795846578571,-5.03193578063719e-21,-8.60481298058304e-18,0.0952071791483058,0.155053626553474
33,0.156966767045618,0.0176944698875887,-0.0575165194925194,-0.0164267701956423,0.250340007775548,-0.0661801233796529,-5.21604121270154e-21,-8.16068315504831e-18,0.0965510153423402,0.148960626909684
34,0.150461622717874,0.0169347905366862,-0.0552294427813785,-0.0157215171872771,0.24021176197103,-0.0635076374888602,-5.38889713046885e-21,-7.73151725708376e-18,0.0977157085544806,0.143138743827954
35,0.144268716812587,0.0162148084108481,-0.0530431238876168,-0.0150531173425092,0.230545123183234,-0.0609554190777925,-5.5500822291049e-21,-7.3185736959185e-18,0.0987121672824906,0.137574057674883
36,0.138372125237124,0.0155328345826015,-0.0509533224684731,-0.0144200027351083,0.221316838631429,-0.0585174110369903,-5.69928656233423e-21,-6.92284297438781e-18,0.0995506902544994,0.132253086162844
37,0.13275631166442,0.0148869151455243,-0.0489559164358249,-0.0138203594440025,0.21250522904352,-0.0561880730342518,-5.83633035964556e-21,-6.54500462144592e-18,0.100240999104213,0.127163044243037
38,0.127406304776887,0.0142749690244221,-0.0470468992963664,-0.0132522554902067,0.204089989295114,-0.0539622784839336,-5.96116729050253e-21,-6.18542440375567e-18,0.100792273419828,0.122291971728833
39,0.122307810892312,0.0136948882241678,-0.0452223812826403,-0.0127137339034501,0.196052025402021,-0.0518352365368885,-6.07387745250333e-21,-5.8441769105716e-18,0.101213185855356,0.117628770840944
