period,w,n,pi,u_rate,y,R,L,h,k,inv
0,0.043202567696927,0.00662255994719032,0.141780528718778,-0.00614809435097381,0.64402064812875,0.0586346748188521,0,-5.93036021368528e-17,0.00450154390123653,0.180061756049461
1,0.0847646853524367,0.0186551498674953,0.186257179696653,-0.0173186233769884,0.778822973576159,0.122255468103481,-7.13563431127743e-19,-1.91581859951174e-16,0.0133358270742079,0.357872870820089
2,0.120671993253092,0.0328472531738673,0.181621513796058,-0.0304939499670272,0.702123075667902,0.169843905513299,-5.8888956572576e-19,-1.02406982953249e-16,0.0248196153211944,0.472687356953672
3,0.148010186194,0.0462699963431179,0.156195360221739,-0.0429550363311383,0.558287262987415,0.196690914051846,-4.92014260558776e-19,-1.44248816353762e-17,0.0371462527531223,0.517885112598314
4,0.16561264978554,0.0570187139371151,0.125075930164561,-0.0529336745687437,0.412132469556923,0.205178822029767,-4.12268971140255e-19,4.89885390007603e-17,0.0489017427653171,0.507365853240922
5,0.173784641020377,0.0642092678865903,0.0954485636964508,-0.0596090696530716,0.288571586315315,0.199991916390631,-3.44540626731629e-19,8.50309232020129e-17,0.0591740028061701,0.459792144399437
6,0.173781701205837,0.0677302001550711,0.0701406388568619,-0.0628777488288927,0.193587611080296,0.18587541504657,-2.86339030966484e-19,9.87322719647796e-17,0.0674941210374896,0.391978732058953
7,0.167322483674937,0.0679591878778762,0.0497756098310616,-0.063090330992927,0.125041199145261,0.166759044965205,-2.36326708704791e-19,9.69768054560338e-17,0.0737256460660835,0.316755122181249
8,0.156226337400377,0.0655251285133966,0.0339858720742449,-0.0608306569774368,0.0780091969377748,0.145553227517882,-1.9361942827022e-19,8.59985049158346e-17,0.0779537593578301,0.242850177735949
9,0.14218255653296,0.061136984431459,0.0220491027597412,-0.0567568963687668,0.04724311527862,0.124238390724193,-1.57480742837122e-19,7.05745011890413e-17,0.0803938890818248,0.175558948317619
10,0.126627217107384,0.0554747899385108,0.0131945930585195,-0.0515003632072997,0.0281605064953545,0.104053103159293,-1.27208778639866e-19,5.39827019767638e-17,0.0813240403390049,0.117599939369029
11,0.110696774245448,0.0491294781610482,0.00673201836092645,-0.0456096539037567,0.017126918146752,0.0856902609893811,-1.02109931463757e-19,3.82518927779373e-17,0.0810386304518161,0.0699076448514543
12,0.0952308093378979,0.0425772063491842,0.00209110259451962,-0.0395268119764961,0.0114238506159453,0.0694651358352592,-8.15065856452988e-20,2.44802148107914e-17,0.0798194762181574,0.0322724611054667
13,0.0808026228567597,0.0361759589098779,-0.00117929987166307,-0.0335841744564715,0.00910086909095922,0.0554458404339822,-6.47538877304166e-20,1.31265103091802e-17,0.0779194272369708,0.00381751697069566
14,0.0677627244548715,0.0301751321226514,-0.00342763482874148,-0.0280132699171519,0.00880500430323081,0.0435485070061439,-5.12549955177426e-20,4.24265771345335e-18,0.075554774493819,-0.0166666824891014
15,0.0562855452337907,0.0247315668793067,-0.00491959803888627,-0.0229597025672687,0.00962649384554417,0.0336035885393878,-4.04712875980449e-20,-2.35583286921468e-18,0.0729034072471361,-0.0304999153734978
16,0.0464136453418394,0.0199277448982657,-0.00585652317930295,-0.0185000448185681,0.0109734043204577,0.0254002489857307,-3.19272226994908e-20,-6.97216088382206e-18,0.0701064899365263,-0.0389732851772559
17,0.0380964419399334,0.0157895453280209,-0.00639055168343118,-0.0146583217380819,0.0124756767540558,0.0187149256024066,-2.5210785291688e-20,-9.95166816122478e-18,0.0672720931207383,-0.0432693826949929
18,0.0312222845721639,0.0123021402647248,-0.0066364734600445,-0.0114207677498685,0.0139144815492821,0.0133288604826439,-1.9970766004558e-20,-1.16351867688831e-17,0.0644797231990663,-0.0444227037461419
19,0.0256438083902474,0.00942339397491005,-0.00668071498798266,-0.00874826588602266,0.0151716093591091,0.00903816412369806,-1.59120340922471e-20,-1.23331117847344e-17,0.0617850712140235,-0.0433063562026462
20,0.0211971133300173,0.00709462435168703,-0.00658808671990301,-0.00658633825087438,0.0161939666895144,0.0056589544502254,-1.27897284631396e-20,-1.23131980131013e-17,0.0592245674126673,-0.0406350808402227
21,0.017715613384413,0.00524887290326078,-0.00640684892039258,-0.00487282351580798,0.0169691044319852,0.00302933649486219,-1.04030456641357e-20,-1.17970138687075e-17,0.0568195114142598,-0.0369776725236326
22,0.015039493857476,0.00381697848457175,-0.00617254311775653,-0.0035435155054716,0.0175086323111746,0.00100942206834217,-8.58908693342714e-21,-1.09615284262215e-17,0.0545796699401653,-0.0327741475495211
23,0.0130216888205301,0.00273180935037587,-0.00591092256672214,-0.00253609205034209,0.0178371823185039,-0.000519809557380296,-7.21705612276467e-21,-9.94346577182862e-18,0.0525063125883089,-0.0283546241340896
24,0.0115312013434102,0.00193101273886906,-0.0056402205870589,-0.00179266757963228,0.0179852296497656,-0.00165828308077775,-6.18297448293115e-21,-8.84489478806172e-18,0.0505947042521345,-0.0239580208586683
25,0.0104544710661199,0.00135861482141097,-0.0053729245597767,-0.00126127844447974,0.0179845671317489,-0.00248888965426147,-5.40498982103868e-21,-7.73910417726091e-18,0.0488361001252037,-0.0197494608250953
26,0.00969536918451725,0.000965762113795798,-0.00511717304802637,-0.000896571211670428,0.0178655853599041,-0.00307962400381947,-4.81929806521449e-21,-6.67620720222603e-18,0.047219302694481,-0.0158357971037064
27,0.00917428255667284,0.000710848250035248,-0.00487785926193481,-0.000659920354861489,0.0176557657997151,-0.00348566283664312,-4.3766572925193e-21,-5.68818132412651e-18,0.045731844569255,-0.0122790223145597
28,0.00882664294209469,0.000559223342597545,-0.00465750130980348,-0.000519158437367611,0.0173789744452041,-0.00375130630112542,-4.03945167141195e-21,-4.79321505992991e-18,0.0443608597999329,-0.00910754620362621
29,0.0086011670748611,0.0004826403230668,-0.00445692464293279,-0.000448062119099137,0.0170552703348625,-0.0039117406754086,-3.77925084575584e-21,-3.99933754873577e-18,0.0430937018332182,-0.00632545886865675
30,0.00845799872582895,0.000458555280826295,-0.00427579206960153,-0.000425702621665726,0.0167010320481255,-0.00399460436000419,-3.57480557016801e-21,-3.3073665761925e-18,0.0419183599975719,-0.00391997159263218
31,0.00836688418198902,0.000469367415459704,-0.00411300980843002,-0.000435740133502797,0.0163292675969551,-0.00402135474060847,-3.41042039073963e-21,-2.71324286318591e-18,0.040823719456101,-0.00186726166126325
32,0.00830546603620068,0.000501658659563316,-0.00396703305509455,-0.000465717909021999,0.0159500168823415,-0.00400844328695659,-3.27464707663319e-21,-2.20983238433722e-18,0.0397997025729549,-0.000136955869744543
33,0.00825774494039247,0.000545472817680301,-0.00383609069832683,-0.000506393052797178,0.0155707866600833,-0.00396831217256123,-3.15924711065841e-21,-1.78828119758607e-18,0.0388373230255312,0.00130452067600825
34,0.00821273310969717,0.000593658534316899,-0.00371834570097808,-0.000551126559872003,0.0151969795929376,-0.00391022895851896,-3.05837699356379e-21,-1.43900332936273e-18,0.037928677991556,0.00249152166652269
35,0.00816330507353965,0.000641288824090883,-0.0036120050147881,-0.000595344432995057,0.0148322941127884,-0.00384097731843188,-2.96795583873987e-21,-1.1523747032258e-18,0.0370668984592384,0.0034574966988509
36,0.00810523884540165,0.000685161561352953,-0.0035153905947347,-0.000636073959080679,0.0144790823263861,-0.00376542197500625,-2.88518036042006e-21,-9.19196890875441e-19,0.0362460731810628,0.00423388733221299
37,0.00803643294196783,0.000723379584127215,-0.00342698105633258,-0.000671553896113717,0.0141386603738297,-0.00368696538755902,-2.80815765817718e-21,-7.30984847103466e-19,0.0354611579960542,0.00484946578072285
38,0.00795628036668147,0.000755005344835536,-0.00334543174548375,-0.000700913866020607,0.0138115704198006,-0.00360791257319732,-2.7356310405612e-21,-5.80123519906087e-19,0.0347078791284902,0.00533000329349306
39,0.00786517883747865,0.000779782849720628,-0.00326957944798217,-0.000723916215418725,0.0134977964963973,-0.00352975898054257,-2.66677844628675e-21,-4.59929731762972e-19,0.033982636562602,0.00569817649296074
