period,w,n,pi,u_rate,y,R,L,h,k,inv
0,0.00407713159472939,-0.000264473173842089,-0.00319973191240627,0.000245525301250388,0.0373219693171431,-2.68703407932068e-05,0,0.3574,-0.000292098875418606,-0.0116839550167442
1,0.00199030119337788,-0.000438882445216641,-0.00129500951465905,0.0004074392234566,-0.000478410602539636,-0.000421959392095768,9.38354402675908e-22,-2.56153914160875e-18,-0.000531614862539034,-0.00987273836023579
2,0.000687661234810385,-0.000539226688750763,-0.000492599766925736,0.000500594420501907,-0.000198203424812262,-0.000490302529374636,8.24022679034352e-22,-2.32331067437843e-18,-0.000723111777883386,-0.00819149147631314
3,-9.58738300073403e-05,-0.000582439867970344,-0.000161624749796009,0.000540711641813017,-7.71322159192904e-05,-0.000442657753836489,7.03843952331135e-22,-1.96236958184511e-18,-0.00087273561729957,-0.00670806535453077
4,-0.000539939239416155,-0.000584218727166496,-2.72999991829673e-05,0.000542363056713335,-5.67804093185348e-05,-0.000363735713057041,5.8879240725072e-22,-1.58398731813702e-18,-0.000986961675831002,-0.00544177795855685
5,-0.000765820088576618,-0.000557887708664564,2.82135169814522e-05,0.000517918493372569,-8.61352027740517e-05,-0.000284677895420544,4.85606575039278e-22,-1.23908419145504e-18,-0.00107189144095104,-0.00438415228063263
6,-0.000854922438085281,-0.00051407202536188,5.39333347067811e-05,0.000477241933681844,-0.000133823233653935,-0.000214907896765746,3.97053083447701e-22,-9.46600012733785e-19,-0.00113294246843219,-0.00351393254019694
7,-0.000861434659259859,-0.000460837062001479,6.91514521612668e-05,0.000427820927285482,-0.000183903000177935,-0.000155778456768663,3.23343885991449e-22,-7.08932687800567e-19,-0.00117476487803046,-0.00280583885236314
8,-0.00082101568932564,-0.000404039285319901,8.07229841988097e-05,0.000375092361179859,-0.000229664652427125,-0.000106147486465964,2.6334819678151e-22,-5.21085013244189e-19,-0.00120126982979025,-0.00223496294842174
9,-0.000756752525774363,-0.000347736798561741,9.06119041859864e-05,0.000322823600527797,-0.000269076166478343,-6.44613220789319e-05,2.15373287199011e-22,-3.75534971192634e-19,-0.00121570391730795,-0.00177863333049863
10,-0.000683240759623524,-0.000294582089255265,9.90878458624078e-05,0.000273477098477114,-0.000302114759948718,-2.939557290314e-05,1.77598919464188e-22,-2.64568783112501e-19,-0.00122073593579763,-0.00141698465689514
11,-0.000609377040133256,-0.00024616429374737,0.000106001126287356,0.000228528139551497,-0.000329423645362581,4.82884296312716e-08,1.48291429626012e-22,-1.8124482876859e-19,-0.00121854108490512,-0.00113294190009724
12,-0.000540268808254751,-0.000203292177568821,0.000111229970353686,0.000188727546216973,-0.00035173651950678,2.46142088621418e-05,1.25893977279198e-22,-1.19681407673384e-19,-0.00121087714214099,-0.000911983374339829
13,-0.000478539253783226,-0.000166220332484151,0.000114789779249964,0.000154311670307547,-0.00036968849085848,4.48860885932412e-05,1.0905336947455e-22,-7.50449780686691e-20,-0.00119915142924927,-0.000741848626472273
14,-0.000425217494831667,-0.000134825572423891,0.000116819350283016,0.000125166151276262,-0.000383793321959719,6.13598429105051e-05,9.66172004531512e-23,-4.34277484874168e-20,-0.00118447903724722,-0.000612255749167176
15,-0.000380343664384915,-0.000108741620333268,0.000117534217714645,0.000100950953561446,-0.00039447525114414,7.44862583641941e-05,8.76185972439201e-23,-2.17008704908118e-20,-0.00116773322235835,-0.000514646441692289
16,-0.000343377488742404,-8.74597976317425e-05,0.000117181537454685,8.1193842267167e-05,-0.000402106387806128,8.46908082326077e-05,8.12567535529103e-23,-7.37748247367216e-21,-0.00114958887416564,-0.000441959294649876
17,-0.000313471054140834,-7.04025025624279e-05,0.000116006891896035,6.53585972418594e-05,-0.000407032987356387,9.23788894709868e-05,7.68768145887537e-23,1.50429740810971e-21,-0.001130559825989,-0.000388426947100253
18,-0.000289647561082184,-5.69752266629955e-05,0.000114233764031727,5.28933028897426e-05,-0.000409588509966585,9.79335280371428e-05,7.39505272873831e-23,6.47823201641777e-21,-0.00111103065474896,-0.000349392976387245
19,-0.000270915039336316,-4.66018847582457e-05,0.000112053186686428,4.32631469872097e-05,-0.000410096676476505,0.00010171036152373,7.20581668790486e-23,8.72966797194035e-21,-0.0010912835361523,-0.000321145910882826
20,-0.00025633524678398,-3.87473781164044e-05,0.000109620497804824,3.59713673280647e-05,-0.000408868702098128,0.000104032721007978,7.08719156617132e-23,9.16143910044961e-21,-0.00107152067590347,-0.000300769126199006
21,-0.000245061958996196,-3.29305779521734e-05,0.000107056542183677,3.05713050386135e-05,-0.000406198156493206,0.000105188185549155,7.01407622443707e-23,8.44875267488156e-21,-0.00105188281376692,-0.000286006190441431
22,-0.00023635867741183,-2.87302957145325e-05,0.000104451323132339,2.66719471311489e-05,-0.000402355745226011,0.000105427051748375,6.96769543432894e-23,7.08511869941227e-21,-0.00103246428096871,-0.000275141501838374
23,-0.000229602847877761,-2.57862828096553e-05,0.000101868734904447,2.39388546028814e-05,-0.000397585267890537,0.000104962630172771,6.93440150482324e-23,5.42079753001348e-21,-0.00101332507360094,-0.000266895986257935
24,-0.000224281595016366,-2.37968622740307e-05,9.93515065858946e-05,2.2091963785083e-05,-0.000392101247486852,0.000103973024926813,6.90463044767567e-23,3.69484559074539e-21,-0.000994500380966234,-0.000260337368212808
25,-0.00021998248071883,-2.25144274285211e-05,9.69258513995071e-05,2.09014074908339e-05,-0.000386088244512581,0.000102603969248488,6.87200761924481e-23,2.06160022441387e-21,-0.000976007977147135,-0.000254804228202272
26,-0.000216381712917233,-2.17397385909152e-05,9.46055629175502e-05,2.01822203329633e-05,-0.000379701609413295,0.000100972304038723,6.83259456618431e-23,6.12310846762176e-22,-0.000957853847533786,-0.000249842792613173
27,-0.000213231445881015,-2.13157006309666e-05,9.23954590467833e-05,1.97885620789125e-05,-0.000373069320374625,9.91697479356476e-05,6.78426609615406e-23,-6.07450945045759e-22,-0.00094003638158861,-0.000245155209726754
28,-0.000210347244534545,-2.1121104415186e-05,9.02941711103959e-05,1.96079074824268e-05,-0.000366294541622959,9.72666861410627e-05,6.72620466134227e-23,-1.58401679399577e-21,-0.000922549421000065,-0.000240557958046803
29,-0.000207596375706435,-2.10646574125824e-05,8.82963290234952e-05,1.95555045595987e-05,-0.000359458577194987,9.53157831900239e-05,6.65849806210012e-23,-2.3249359259938e-21,-0.000905384410611713,-0.000235949005465987
30,-0.000204887297823898,-2.10795067353353e-05,8.63942193428453e-05,1.95692900199133e-05,-0.000352623957484672,9.33552934177557e-05,6.58182619367251e-23,-2.85087203074445e-21,-0.000888531859731867,-0.000231282375417884
31,-0.000202160517261988,-2.11183659111527e-05,8.45790013736915e-05,1.96053651753263e-05,-0.000345837462921001,9.14119985732869e-05,6.4972229359951e-23,-3.18962115502879e-21,-0.000871982284786282,-0.000226548861908461
32,-0.000199380841835618,-2.11492894420155e-05,8.28415646786823e-05,1.96340732258273e-05,-0.000339132951001141,8.95037444872055e-05,6.405900158771e-23,-3.37183835735809e-21,-0.000855726771478222,-0.000221761752463918
33,-0.000196530972710928,-2.11520919412761e-05,8.11731039584844e-05,1.96366749432916e-05,-0.000332533905009636,8.76415791520687e-05,6.30912201612842e-23,-3.42811270949861e-21,-0.000839757265994196,-0.000216946552117186
34,-0.000193606322261462,-2.11153771686954e-05,7.95654773587163e-05,1.96025905578422e-05,-0.000326055663744773,8.58315149356504e-05,6.20811909072863e-23,-3.38708230713946e-21,-0.000824066680371525,-0.000212133841087337
35,-0.000190610917100807,-2.10341229917445e-05,7.80114036435226e-05,1.9527157741788e-05,-0.000319707321922387,8.40759499935173e-05,6.10403339736889e-23,-3.27433112951415e-21,-0.000808648876744633,-0.000207354535295875
36,-0.000187554235039747,-2.09077581497623e-05,7.65045434344578e-05,1.94098461617725e-05,-0.000313493312006149,8.23747902249973e-05,5.99788668136377e-23,-3.11185620429703e-21,-0.00079349857848923,-0.000202636946528519
37,-0.000184448826240458,-2.0738663178578e-05,7.5039500417807e-05,1.92528658029072e-05,-0.00030741469171971,8.07263150123471e-05,5.89056578502969e-23,-2.91793548587264e-21,-0.000778611242886007,-0.000198005154360309
38,-0.000181308578024167,-2.05310289474925e-05,7.36117703320511e-05,1.9060107284542e-05,-0.000301470169127336,7.91278288813094e-05,5.78282006746531e-23,-2.7072635588375e-21,-0.00076398291939257,-0.000193478303148507
39,-0.000178147496428977,-2.02900103794879e-05,7.22176587243477e-05,1.8836356211204e-05,-0.00029565690045443,7.7576138210991e-05,5.67526692815707e-23,-2.49125357935296e-21,-0.00074961010950776,-0.000189070524000201
