period,w,n,pi,u_rate,y,R,L,h,k,inv
0,0.0213333193422531,0.00293527287846397,0.00886287997520675,-0.00272497867086991,0.282769527571972,0.00972810218186128,0,-6.06425190006213e-18,0.0885520229623034,3.54208091849213
1,0.0423852830750965,0.00694916586602927,0.00375570442433622,-0.0064513009690521,0.238896637355392,0.0148816090066739,-4.8021957800509e-20,5.87091583695887e-16,0.163070124810775,3.06927609690119
2,0.0612043916768367,0.0109727251337315,-0.00522593061605343,-0.0101865970179861,0.210333497999612,0.0155958454705128,-5.31938989267766e-20,5.22330645415042e-16,0.225255699937587,2.65049312988327
3,0.0769735042146064,0.0144514390555981,-0.0141914910294271,-0.0134160825314778,0.192519471388845,0.0130322158523026,-5.5522040569655e-20,4.58910978650023e-16,0.276695415155373,2.28284430864903
4,0.0895407762033414,0.0171553195097031,-0.0218580335725104,-0.0159262466188025,0.182161049335331,0.00842238884347176,-5.59604758449094e-20,3.99021563738558e-16,0.318841230473563,1.96252802788298
5,0.099116318061768,0.0190481467496043,-0.0279869877302086,-0.0176834644550779,0.176795284620259,0.00276169687122088,-5.52020198029194e-20,3.44001853465534e-16,0.353001125772207,1.68523704241932
6,0.106081403325996,0.0201997710312465,-0.0327162386632579,-0.0187525819559942,0.174603263446584,-0.00324043251583642,-5.37385867534662e-20,2.94520928484601e-16,0.38033804911095,1.44647805932193
7,0.110873292756983,0.0207294460706014,-0.036285109654055,-0.0192443090438994,0.174282254293688,-0.00912082255154372,-5.19087401033904e-20,2.50756133017109e-16,0.401874811399964,1.2418085406715
8,0.113919819250873,0.0207709817631105,-0.0389296477734077,-0.0192828689600821,0.174933257535103,-0.01460222093488,-4.9936829254932e-20,2.12551156568815e-16,0.418502906525633,1.06699861642674
9,0.115605813513628,0.0204527654435084,-0.0408496096323358,-0.0189874508781721,0.175961097922576,-0.0195376321895405,-4.79645812662188e-20,1.79543263890396e-16,0.430993600490228,0.918130665109444
10,0.116259177176459,0.0198875565058593,-0.0422038392039017,-0.0184627356767409,0.176990574779328,-0.0238664931433199,-4.60757239224366e-20,1.51258327807054e-16,0.440010033639065,0.79165092644368
11,0.116148494263472,0.0191684361465051,-0.0431154458861577,-0.0177951358582007,0.177800150805472,-0.0275828245103665,-4.4314523074021e-20,1.27177414490992e-16,0.446119449751229,0.684386678125632
12,0.115486928812466,0.0183684236710774,-0.043679183862632,-0.0170524393450537,0.178272055827251,-0.0307132133714016,-4.26993147077897e-20,1.06780610821364e-16,0.44980497095018,0.593540297709282
13,0.114439111682597,0.0175421029640075,-0.0439682385225614,-0.0162853194228875,0.1783562228221,-0.0333021366833373,-4.12321166554998e-20,8.95738567007671e-17,0.451476570338018,0.516668946463688
14,0.113129027709373,0.0167281955704785,-0.0440396446528005,-0.0155297234768675,0.1780450690634,-0.035402476015925,-3.99052838271517e-20,7.51037509735701e-17,0.451481061591827,0.451656220490382
15,0.111647768979357,0.015952426677187,-0.0439383416425677,-0.0148095336426433,0.177356351843294,-0.0370695745094279,-3.87059987608847e-20,6.2964242340093e-17,0.450111038764412,0.396680148495246
16,0.110060563824864,0.0152303056004938,-0.0437001177814397,-0.0141391480896639,0.17632180828183,-0.0383576497349285,-3.76192144562829e-20,5.27981029018524e-17,0.447612773175481,0.350180415207177
17,0.108412826449641,0.0145696219645073,-0.0433537272651071,-0.0135257983634885,0.174979816607985,-0.0393177425522753,-3.6629512788616e-20,4.42952353723676e-17,0.444193118918456,0.310826602894492
18,0.106735170364444,0.0139725719873442,-0.0429224202008895,-0.012971523336744,0.173370787642249,-0.0399966504110309,-3.57222172601593e-20,3.71892117167497e-17,0.440025503149467,0.277488488158872
19,0.105047438928288,0.0134374976678144,-0.042425066547911,-0.0124747837938052,0.171534373735207,-0.0404364809498178,-3.48840029334215e-20,3.12529627174588e-17,0.435255088679205,0.249208924338978
20,0.103361861074228,0.0129602604088641,-0.0418770015615543,-0.0120317376425852,0.169507867064481,-0.0406745885517084,-3.41031749899584e-20,2.62942010956694e-17,0.430003199238858,0.225179511065331
21,0.101685461397079,0.0125352902811363,-0.0412906790331407,-0.0116372140048302,0.167325363802106,-0.0407437404562563,-3.3369735412179e-20,2.21509307563138e-17,0.424371095435285,0.204719047095952
22,0.100021855235184,0.0121563598873786,-0.0406761891817009,-0.011285431637913,0.165017412998658,-0.0406724137945488,-3.26753200791996e-20,1.86872417726063e-17,0.418443184058656,0.187254640370129
23,0.0983725501315764,0.011817132416298,-0.040041678165435,-0.0109705077240071,0.162610965656677,-0.0404851603438526,-3.20130621996694e-20,1.57894916396411e-17,0.412289736504292,0.172305281884087
24,0.0967378606850728,0.0115115301025534,-0.0393936932676876,-0.0106867999321924,0.160129503890527,-0.0402029986581251,-3.13774194546156e-20,1.33629109245502e-17,0.405969184543003,0.159467658052742
25,0.0951175276746422,0.0112339639442787,-0.0387374696883167,-0.0104291196781338,0.15759327248455,-0.0398438080208813,-3.07639892486096e-20,1.13286335071736e-17,0.399530054094454,0.14840396660103
26,0.0935111164208099,0.0109794594227748,-0.038077169881409,-0.0101928488367322,0.155019562871382,-0.0394227083093431,-3.01693274444881e-20,9.62112969765516e-18,0.393012590369196,0.13883150508417
27,0.0919182546965585,0.0107437068722262,-0.0374160833590074,-0.00997398650316127,0.152423017601274,-0.0389524162151448,-2.95907797285614e-20,8.18600892332616e-18,0.386450120940621,0.130513813226173
28,0.0903387576167424,0.0105230594841953,-0.0367567930488276,-0.00976914714032764,0.149815935145869,-0.0384435725081173,-2.90263305015793e-20,6.97815359370876e-18,0.379870197085617,0.123253166740491
