period,w,n,pi,u_rate,y,R,L,h,k,inv
0,-0.0405524662510136,-0.00605456135319332,-0.128628102363204,0.0056207893548755,-0.589134058238929,0.707283217835066,0,-2.35088636432712e-18,-0.00795054305966427,-0.318021722386571
1,-0.0798204545873352,-0.0170968504864072,-0.168790992683957,0.0158719665406002,-0.717507501295091,0.497251588930488,4.98031372392272e-21,2.75541644075293e-16,-0.0222900273102485,-0.581529913083031
2,-0.114193914275097,-0.0301851632971648,-0.164158286679079,0.0280225824198474,-0.653567341364068,0.332214601606565,2.24556886928651e-20,1.51576942271238e-16,-0.0404585008883131,-0.749028970432832
3,-0.140976177174588,-0.0426495415203565,-0.140455808307098,0.0395939647785556,-0.52778248005892,0.21044037679165,3.90967912896651e-20,4.03744082577849e-17,-0.06006777520324,-0.824829473485394
4,-0.159021444351948,-0.0527383520131851,-0.111445440228703,0.0489599741908706,-0.39893337626882,0.124945334957989,5.04105249748861e-20,-3.96169652529774e-17,-0.0793013572809951,-0.829411058313451
5,-0.168514893659994,-0.0596227237765193,-0.0837150491245772,0.05535112315527,-0.289766657281915,0.0675975867969705,5.5900984879928e-20,-8.79578714503953e-17,-0.0969616604366165,-0.785713483505856
6,-0.170515648879822,-0.0631768484024608,-0.059888411651603,0.0586506166607503,-0.205886199720877,0.0309643909490741,5.66274012457106e-20,-1.10845724102388e-16,-0.112376695393746,-0.713563058721804
7,-0.16652163033969,-0.0637234754093761,-0.0405748648572338,0.0591580812122386,-0.145505509477475,0.00896141556515278,5.4038184031494e-20,-1.1580685532271e-16,-0.125268578624744,-0.628052024633668
8,-0.158141950420011,-0.0618190196549485,-0.0254701067993605,0.05739006797282,-0.104277068844351,-0.00307882630879426,4.9467528256787e-20,-1.09502118763741e-16,-0.135628859883738,-0.539679828984518
9,-0.146885714386168,-0.0580981014584167,-0.0139360115879191,0.0539357306279028,-0.0775246559875861,-0.0085819809231004,4.39621217685989e-20,-9.70514249087472e-17,-0.143616919348369,-0.455151238468964
10,-0.134047067821884,-0.053173870444093,-0.00528151276766264,0.0493642904109066,-0.0611497948036049,-0.00997878343886891,3.8261272667155e-20,-8.20386497800385e-17,-0.149484171682889,-0.378307012729171
11,-0.120659543620597,-0.0475823734504048,0.00111787465257018,0.044173389708684,-0.0518950645952993,-0.0089450409702063,3.2839463408305e-20,-6.67732305172459e-17,-0.153521175038288,-0.310964305898857
12,-0.107495221680828,-0.0417582029802367,0.00578189898353529,0.0387664851502827,-0.0473213008160946,-0.00660449560150661,2.79667563731329e-20,-5.26074275220578e-17,-0.156022981352049,-0.253593427588717
13,-0.0950896394849978,-0.0360304663909409,0.00912478194524733,0.0334491055796447,-0.045678078368796,-0.00368811385685082,2.37670080473214e-20,-4.02239243063938e-17,-0.157268066385736,-0.205826382699535
14,-0.0837789778904653,-0.030630699500423,0.0114689732393129,0.0284361987005982,-0.0457521331099748,-0.000653602441436035,2.02663361830721e-20,-2.98657136340411e-17,-0.157506866546371,-0.166820072811141
15,-0.073740728956276,-0.025706810491767,0.0130624660835725,0.0238650759866719,-0.0467294740483794,0.00222762102071353,1.74302734025009e-20,-2.15064491364204e-17,-0.156956806405136,-0.135504460896954
16,-0.0650325839218632,-0.0213391554039118,0.0140949671026452,0.0198103364619603,-0.0480828870100147,0.00480851477211408,1.51906261163319e-20,-1.49697940302093e-17,-0.155801499987302,-0.110744549691802
17,-0.0576267565128589,-0.0175563596750809,0.0147113385709906,0.0162985547284963,-0.0494855883632768,0.00702307367990657,1.34639369612619e-20,-1.00089883185047e-17,-0.154192470654547,-0.0914403266770927
18,-0.051438589994683,-0.0143495679751624,0.0150221520060871,0.0133215098859829,-0.0507474951007386,0.00885641716823294,1.2163531221831e-20,-6.35719319973401e-18,-0.152252247322785,-0.076583537384078
19,-0.0463493052497711,-0.0116845183939469,0.0151117418266758,0.0108473946788737,-0.0517694652197843,0.0103244196520945,1.1206883184796e-20,-3.75731735729535e-18,-0.150078075576236,-0.0652853774608289
20,-0.0422233194074516,-0.0095112879714941,0.0150442837749474,0.00882986281956377,-0.0525111263092971,0.0114600426964274,1.05196982467529e-20,-1.9779941123856e-18,-0.147745756175639,-0.0567852995523533
21,-0.0389208460320703,-0.0077718216610457,0.0148683845580465,0.00721501854752147,-0.0529686562051187,0.0123043331194279,1.00377753454981e-20,-8.20576606974525e-19,-0.145313315430557,-0.0504481263723479
22,-0.0363065851133367,-0.00640549612518145,0.0146205744382073,0.00594658181374722,-0.0531596954776752,0.0129006464400626,9.70743190107728e-21,-1.20575129022235e-19,-0.142824343171074,-0.0457544250512303
23,-0.0342552985061792,-0.00535302754584691,0.0143279959707435,0.00496951612030199,-0.053113291284419,0.0132910836611626,9.48504899568558e-21,2.54128963520006e-19,-0.140310921458464,-0.0422874746666854
24,-0.0326549940310346,-0.00455904022945705,0.0140104994913934,0.0042324131006891,-0.0528633481119608,0.0135144330735491,9.33612366718081e-21,4.06749000289814e-19,-0.137796123496112,-0.0397190029643891
25,-0.0314083415051736,-0.00397359166461352,0.0136822935727741,0.0036889083165871,-0.0524444973727023,0.0136051220963539,9.23408897476021e-21,4.15751683279701e-19,-0.135296096867333,-0.0377950583449577
26,-0.0304328365439786,-0.00355291404104439,0.0133532544186385,0.00329836965152847,-0.0518896176630776,0.0135928335610977,9.15907137642839e-21,3.39104659134362e-19,-0.132821765059052,-0.0363228245360765
27,-0.0296601247188558,-0.00325959111444868,0.0130299680196095,0.00302606150446831,-0.0512284670661928,0.0135025455781062,9.09669047536035e-21,2.18265939051921e-19,-0.130380191102224,-0.0351588067859303
28,-0.0290348057710115,-0.00306234819811036,0.0127165588484576,0.00284294982720464,-0.0504870516429848,0.0133548278259476,9.03696145332588e-21,8.17365763304109e-20,-0.127975650514182,-0.034198567580573
29,-0.0285129577481004,-0.00293559508051387,0.0124153456500972,0.00272527778912911,-0.0496874689151907,0.0131662792329074,8.97333015759312e-21,-5.18947320520033e-20,-0.125610459973374,-0.0333680288818484
30,-0.0280605547044309,-0.00285882834312382,0.0121273560659659,0.00265401091525344,-0.0488480457435237,0.0129500290625276,8.90185079756684e-21,-1.71420784959396e-19,-0.12328560496013,-0.032616259443611
31,-0.027651898298668,-0.00281597142451505,0.0118527257653292,0.0026142244306765,-0.0479836466945537,0.012716249812257,8.82050353732021e-21,-2.70966554392141e-19,-0.121001205095789,-0.0319096103864799
32,-0.027268141901035,-0.00279470778438864,0.0115910033607623,0.00259448419928792,-0.0471060689337757,0.0124726491346899,8.72864173887638e-21,-3.48369567756289e-19,-0.118756850867859,-0.0312270359786088
33,-0.0268959540752579,-0.00278584426177569,0.0113413789983138,0.00258625569343203,-0.0462244678688568,0.0122249213105246,8.62655461720548e-21,-4.03930215970753e-19,-0.116551840335691,-0.0305564295811348
