Row,c_lag,R_lag,pi_lag,w_lag,v_lag,n_lag,h_lag,x_lag,L_lag,k_lag,inv_lag,sep_shock_lag,d_shock_lag
c,0.467918184640181,-1.43271698253835,-0.251171469482193,-0.0276142693661545,-0.0126616675856751,-0.0621125753524785,0,0.182518272870353,0,0.0894245330762956,-0.0221716684459511,0.25783947741323,2.89946831586578
R,0.00830233210476856,0.743921344028466,0.120431943114296,0.0114312263148586,0.00229463949899733,0.0139001688553389,0,-0.0544314666262385,0,-0.0214090168200269,0.00238998984177729,-0.0332910664134811,0.111419809632024
pi,0.0112004320483851,-0.135291193650492,0.410476566838549,0.0391469554800358,0.00777437976496788,0.0273157898076476,0,-0.226369353816624,0,-0.0878917315396622,0.00217742296633463,-0.102537092202074,0.269416681650886
w,0.00703112652917286,-0.0426531330539202,-0.00991366973777422,0.640354792372747,0.0284868231136846,0.196313702992551,0,0.147679621304641,0,0.0548754282521806,0.00524114730357687,-0.319082962560104,0.0820951405167272
v,0.144799873328538,-0.446415510784643,-0.0772268408161034,-0.143204621402648,0.833176059379583,-0.335099570183781,0,-0.122452461407456,0,-0.0348029243585869,0.0505521159666891,0.416080096170774,0.882178999046625
n,0.00206559539374694,-0.00636819495471332,-0.00110165432466482,-0.00204283884738929,0.011885401491545,0.781842200419878,0,-0.00174680567338845,0,-0.000496469773015091,0.000721134732266057,-0.646186786762412,0.0125844369542814
h,-6.33466789847798e-17,3.71287525181654e-16,6.15352629194845e-18,5.46755354719095e-17,5.61998409188131e-17,-7.31423977032335e-16,0,1.02874499036182e-17,0,1.68737659543969e-17,1.59688802489325e-16,5.36251503534701e-16,-4.03814789775852e-16
x,4.34244867832191e-17,-9.5856109714666e-17,-3.65161449931573e-17,-4.31042962083857e-17,4.395891389037e-18,1.3284849950248e-16,0,0.949999999999999,0,-4.87734918373026e-18,2.08706798903757e-18,-2.77555756156289e-17,6.24500451351651e-17
L,1.01863206368436e-20,0,4.69927254997063e-21,2.08969865055515e-20,-3.91082090984987e-20,-2.73777904378307e-20,0,2.8309785518702e-20,0,-6.53498544077422e-20,-9.50735114951146e-21,-2.41459190453617e-17,-1.68724939387603e-18
k,0.00143046373631861,-0.00836239080690483,-0.00141436689007585,-0.000141169920020728,-8.2584169237373e-05,-0.00228714020119097,0,-0.00279825867397701,0,0.974122879024315,0.0217553672229486,0.00265578825321106,0.00855400266268316
inv,0.0572185494527513,-0.334495632276172,-0.0565746756030294,-0.00564679680083046,-0.00330336676949619,-0.0914856080476302,0,-0.111930346959078,0,-0.0350848390273858,0.870214688917948,0.106231530128441,0.342160106507289
sep_shock,0,0,0,0,0,0,0,0,0,0,0,0.8,0
d_shock,-3.34762111183188e-18,0,1.43811562878945e-17,-1.58311445736894e-17,1.07271188371292e-18,-1.90638727863724e-17,0,-3.62973757502588e-18,0,1.41794910461889e-17,-1.63778690582373e-18,-2.26037051452807e-17,0.8
