Row,eps_a,eps_r,eps_d,eps_p,eps_L,eps_sep,eps_h,eps_inv
c,0.192124497758267,-1.79089622817294,3.62433539483222,-0.806818575858906,-0.00492452233816887,0.322299346766541,0.00157137252710778,-0.0260843158187667
R,-0.0572962806591988,0.929901680035585,0.139274762040029,0.386854163937145,-0.000951332856479978,-0.0416138330168532,-7.51828225887153e-05,0.00281175275503245
pi,-0.238283530333289,-0.169113992063114,0.336770852063606,1.31854194970027,-0.00839281051431347,-0.128171365252591,-0.0089528033363354,0.00256167407804114
w,0.155452232952255,-0.053316416317399,0.102618925645907,-0.0318449102354505,-0.200697159803352,-0.39885370320013,0.0114077548817275,0.00616605565126688
v,-0.128897327797323,-0.558019388480802,1.10272374880828,-0.248069774221504,-0.0288262270063862,0.520100120213468,-0.0518740318532107,0.0594730776078696
n,-0.00183874281409294,-0.00796024369339117,0.0157305461928511,-0.00353875850289677,0.198701160707958,-0.807733483453016,-0.000739992092451283,0.000848393802666042
h,-1.28641185438337e-17,-3.09083140195519e-18,-1.40863663032904e-16,1.43649323739477e-16,6.2599117001624e-20,-2.00943165575213e-17,1,-1.75277527604547e-18
x,1,-0,-0,-0,-0,-0,-0,-0
L,-0,-0,-0,-0,1,-0,-0,-0
k,-0.00294553544629152,-0.0104529885086304,0.0106925033283528,-0.00454326075467659,-0.000523728546098432,0.0033197353165138,-0.00081728840352156,0.0255945496740573
inv,-0.117821417851661,-0.418119540345215,0.427700133134112,-0.181730430187064,-0.0209491418439373,0.132789412660552,-0.0326915361408624,1.02378198696229
sep_shock,-0,-0,-0,-0,-0,1,-0,-0
d_shock,9.59484652198768e-18,7.67587721759015e-17,1,3.83793860879507e-17,-8.99516861436345e-19,0,1.01870284557666e-16,0
