Row,R_lag,v_lag,L_lag,k_lag,inv_lag,sep_shock_lag,d_shock_lag,c_lag,pi_lag,w_lag,n_lag,h_lag,x_lag
y,-0.619651915055408,-0.00150697721971377,-0,0.198340105674856,0.0694705180750845,-0.101197550114424,1.22379220547031,0.197688099610127,-0.108441077490734,-0.0125144131660736,0.228217276521856,-0,0.539173580749942
d,-1.23503713949116,-0.0109771734387627,-0,0.067012846097633,0.138457875879551,0.230550046901968,2.43915283818125,0.393992250306444,-0.216144046583943,-0.0236601243043963,-0.0673997212376059,-0,0.129517521301056
c,-1.43271698253835,-0.0126616675856751,0,0.0894245330762956,-0.0221716684459511,0.25783947741323,2.89946831586578,0.467918184640181,-0.251171469482193,-0.0276142693661545,-0.0621125753524785,0,0.182518272870353
gap,-0.61538522443575,-0.0094701962190488,-0,-0.131327259577223,0.0689873578044662,0.331747597016392,1.21536063271094,0.196304150696317,-0.107702969093209,-0.0111457111383228,-0.295616997759462,-0,-0.409656059448887
R,0.743921344028466,0.00229463949899733,0,-0.0214090168200269,0.00238998984177729,-0.0332910664134811,0.111419809632024,0.00830233210476856,0.120431943114296,0.0114312263148586,0.0139001688553389,0,-0.0544314666262385
pi,-0.135291193650492,0.00777437976496788,0,-0.0878917315396622,0.00217742296633463,-0.102537092202074,0.269416681650886,0.0112004320483851,0.410476566838549,0.0391469554800358,0.0273157898076476,0,-0.226369353816624
w,-0.0426531330539202,0.0284868231136846,0,0.0548754282521806,0.00524114730357687,-0.319082962560104,0.0820951405167272,0.00703112652917286,-0.00991366973777422,0.640354792372747,0.196313702992551,0,0.147679621304641
w_star,-0.121866094439769,0.0813909231819573,0,0.156786937863373,0.0149747065816483,-0.911665607314585,0.234557544333502,0.0200889329404934,-0.0283247706793545,-0.027557736077869,0.560896294264433,0,0.42194177515612
u,0.0825186562296216,-0.154010259862716,-0,0.00643322304344793,-0.00934441698005175,8.3732463745485,-0.163068315944866,-0.0267658508287246,0.0142751651209435,0.0264709729804153,-10.1310604058232,-0,0.0226349943566988
u_rate,0.00591195304220441,-0.0110338857408494,-0,0.000460900774208667,-0.000669469874050283,0.599891486834091,-0.0116828396218035,-0.00191760821690726,0.00102272758332239,0.00189648203681605,-0.725828026335002,-0,0.00162165781487034
v,-0.446415510784643,0.833176059379583,0,-0.0348029243585869,0.0505521159666891,0.416080096170774,0.882178999046625,0.144799873328538,-0.0772268408161034,-0.143204621402648,-0.335099570183781,0,-0.122452461407456
n,-0.00636819495471332,0.011885401491545,0,-0.000496469773015091,0.000721134732266057,-0.646186786762412,0.0125844369542814,0.00206559539374694,-0.00110165432466482,-0.00204283884738929,0.781842200419878,0,-0.00174680567338845
h,3.71287525181654e-16,5.61998409188131e-17,0,1.68737659543969e-17,1.59688802489325e-16,5.36251503534701e-16,-4.03814789775852e-16,-6.33466789847798e-17,6.15352629194845e-18,5.46755354719095e-17,-7.31423977032335e-16,0,1.02874499036182e-17
m,-0.181948427277511,0.339582899758433,-0,-0.0141848506575695,0.0206038494933187,4.39466323535964,0.359555341550879,0.0590170112499067,-0.0314758378475799,-0.0583668242111163,-5.23307998800347,-0,-0.0499087335253787
mc,-0.660139861824726,0.0229388093868456,0,-0.406615666350138,0.0744664795696908,-0.200577005175308,1.30160863742258,0.204016923705426,-0.117980184758122,0.628534944414785,0.158704631371649,0,-1.21255288401646
x,-9.5856109714666e-17,4.395891389037e-18,0,-4.87734918373026e-18,2.08706798903757e-18,-2.77555756156289e-17,6.24500451351651e-17,4.34244867832191e-17,-3.65161449931573e-17,-4.31042962083857e-17,1.3284849950248e-16,0,0.949999999999999
theta,-0.528934167014264,0.987186319242299,-0,-0.0412361474020349,0.0598965329467408,-7.95716627837772,1.04524731499149,0.171565724157263,-0.0915020059370469,-0.169675594383063,9.79596083563938,-0,-0.145087455764155
L,0,-3.91082090984987e-20,0,-6.53498544077422e-20,-9.50735114951146e-21,-2.41459190453617e-17,-1.68724939387603e-18,1.01863206368436e-20,4.69927254997063e-21,2.08969865055515e-20,-2.73777904378307e-20,0,2.8309785518702e-20
k,-0.00836239080690483,-8.2584169237373e-05,0,0.974122879024315,0.0217553672229486,0.00265578825321106,0.00855400266268316,0.00143046373631861,-0.00141436689007585,-0.000141169920020728,-0.00228714020119097,0,-0.00279825867397701
inv,-0.334495632276172,-0.00330336676949619,0,-0.0350848390273858,0.870214688917948,0.106231530128441,0.342160106507289,0.0572185494527513,-0.0565746756030294,-0.00564679680083046,-0.0914856080476302,0,-0.111930346959078
sep_shock,0,0,0,0,0,0.8,0,0,0,0,0,0,0
d_shock,0,1.07271188371292e-18,0,1.41794910461889e-17,-1.63778690582373e-18,-2.26037051452807e-17,0.8,-3.34762111183188e-18,1.43811562878945e-17,-1.58311445736894e-17,-1.90638727863724e-17,0,-3.62973757502588e-18
